Institution Name,City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
Arkansas State University-Main Campus,Jonesboro,www.astate.edu/edu,1,AR,1,13,2,1,76,1713,0.312013543,0.489881004,0.42264518,0.461293414,0.823687474,0.090445132,0.492687396,95,0.784099135,0.4935397
Ball State University,Muncie,www.bsu.edu,1,IN,1,13,2,1,82,3269,0.13008972,0.483330502,0.372737849,0.454906237,0.835221522,0.026209364,0.469302855,156,0.290332134,0.470262796
Boise State University,Boise,www.boisestate.edu,1,ID,1,12,2,1,76,3033,0.396004219,0.49708538,0.421863401,0.465878669,0.826156353,0.090462049,0.463256447,94,0.843801771,0.49865154
California State University-Fullerton,Fullerton,www.fullerton.edu,1,CA,1,21,2,1,88,8039,0.308468697,0.494233478,0.756282939,0.440073427,0.811632942,0.110967001,0.485024136,127,0.67376034,0.487476266
California State University-Long Beach,Long Beach,www.csulb.edu,1,CA,1,11,2,1,89,7780,0.296078965,0.492339535,0.762343453,0.44384522,0.861485934,0.115771673,0.48173692,144,0.570872364,0.481694809
California State University-San Bernardino,San Bernardino,www.csusb.edu,1,CA,1,12,2,1,87,3406,0.322549452,0.478000787,0.632928983,0.455165022,0.822937169,0.104732902,0.481749429,99,0.594161859,0.474687647
Central Michigan University,Mount Pleasant,www.cmich.edu,1,MI,1,32,2,1,79,3973,0.232127337,0.49190791,0.456078926,0.462412678,0.811286154,0.079430502,0.480624168,142,0.565071347,0.482435895
Central Washington University,Ellensburg,www.cwu.edu,1,WA,1,32,2,1,79,2432,0.312623145,0.499749776,0.619459152,0.45859159,0.80625906,0.089007447,0.471314546,148,0.844441549,0.497613542
CUNY City College,New York,www.ccny.cuny.edu,1,NY,1,11,2,1,87,2239,0.354472205,0.500022588,0.769508826,0.462181062,0.850349307,0.106471287,0.493874788,99,0.638146427,0.498308673
Florida Agricultural and Mechanical University,Tallahassee,www.famu.edu,1,FL,1,12,2,1,85,1676,0.177694812,0.464876847,0.263120741,0.464732038,0.802649243,0.086638308,0.477898461,102,0.678082611,0.468916079
Indiana State University,Terre Haute,www.indstate.edu,1,IN,1,13,2,1,64,1868,0.261257356,0.498192833,0.53241018,0.463049725,0.839207688,0.086456672,0.481826421,108,0.361730376,0.480891084
